,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
923,Oddworld: Abe's Exoddus,PlayStation,1998-10-31,88,8.8,OddworldInhabitants,"Action,Platformer,2D",1-2 ,13,101
8966,Blood II: The Chosen,PC,1998-10-31,72,7.2,MonolithProductions,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",1-32 ,14,61
703,Railroad Tycoon II,PC,1998-11-02,89,8.5,PopTopSoftware,"Strategy,Tycoon,Management,Tycoon,Business / Tycoon",1-8 ,11,94
2068,WipeOut 64,Nintendo64,1998-11-03,84,7.5,Psygnosis,"Driving,Racing,Futuristic",1-4 ,11,19
1677,Star Wars: Rogue Squadron,Nintendo64,1998-11-17,85,8.5,Factor5,"Simulation,Sci-Fi,Small Spaceship",1 Player,15,77
36,Half-Life,PC,1998-11-19,96,9.0,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Online Multiplayer,24,4321
6372,Tomb Raider III,PlayStation,1998-11-21,76,8.0,CoreDesignLtd.,"Action Adventure,Modern",1 Player,14,89
0,The Legend of Zelda: Ocarina of Time,Nintendo64,1998-11-23,99,9.1,Nintendo,"Action Adventure,Fantasy",1 Player,22,5749
230,Thief: The Dark Project,PC,1998-11-30,92,9.0,LookingGlassStudios,"Action Adventure,Fantasy,General,Fantasy",1 Player,18,397
1501,Falcon 4.0,PC,1998-11-30,85,7.8,"Atari,MicroProse","Simulation,Flight,Modern Jet,Modern Jet,Combat",1-2 ,10,28
816,Myth II: Soulblighter,PC,1998-11-30,88,8.7,"BungieSoftware,Bungie","Strategy,Real-Time,Fantasy,General",1-16 ,12,72
283,Baldur's Gate,PC,1998-12-21,91,8.9,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",Up to 6 ,16,759
5622,Castlevania,Nintendo64,1998-12-31,78,7.1,KCEK,"Action,Platformer,3D",1 Player,15,51
1199,Silent Hill,PlayStation,1999-01-31,86,8.9,KCET,"Action Adventure,Horror",1 Player,17,655
403,Syphon Filter,PlayStation,1999-01-31,90,8.8,Eidetic,"Action,Shooter,Third-Person,Modern",1 Player,19,155
4937,Mario Party,Nintendo64,1999-02-08,79,8.1,Hudson,"Miscellaneous,Party",1-4 ,16,135
237,Sid Meier's Alpha Centauri,PC,1999-02-12,92,8.8,FiraxisGames,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,4X",No info,19,249
521,Beetle Adventure Racing,Nintendo64,1999-02-28,90,7.5,ParadigmEntertainment,"Driving,Racing,Arcade",1-4 ,14,22
1336,Need for Speed: High Stakes,PlayStation,1999-03-01,86,8.7,EACanada,"Driving,Racing,Arcade",1-2 ,14,54
1537,EverQuest,PC,1999-03-16,85,7.9,SonyOnlineEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",Massively Multiplayer,17,65
12331,Bust A Groove 2,PlayStation,1999-03-31,66,8.6,Metro,"Miscellaneous,Rhythm,Music",1-4 ,8,42
4890,Super Smash Bros.,Nintendo64,1999-04-26,79,8.7,HALLabs,"Action,Fighting,3D",1-4 ,11,436
120,Street Fighter Alpha 3,PlayStation,1999-04-30,93,8.5,Capcom,"Action,Fighting,2D",1-2 ,12,88
718,R4: Ridge Racer Type 4,PlayStation,1999-05-01,88,8.6,Namco,"Driving,Racing,Arcade",1-2 ,18,44
5412,Lunar: Silver Star Story Complete,PlayStation,1999-05-28,78,8.7,GameArts,"Role-Playing,Console-style RPG",1 Player,15,57
402,Ape Escape,PlayStation,1999-05-31,90,8.5,SCEI,"Action,Platformer,3D",1 Player,19,79
7200,World Driver Championship,Nintendo64,1999-05-31,75,8.2,BossGameStudios,"Driving,Racing,GT / Street",1-2 ,14,13
3840,Star Ocean: The Second Story,PlayStation,1999-05-31,80,8.6,Tri-Ace,"Role-Playing,Console-style RPG",1 Player,13,64
7759,Total Annihilation: Kingdoms,PC,1999-06-23,74,8.5,CavedogEntertainment,"Strategy,Real-Time,Fantasy,General,Command",Up to 8 ,18,31
5752,Pokemon Snap,Nintendo64,1999-06-30,77,7.5,Hal,"Action,General",1 Player,15,147
1144,Driver,PlayStation,1999-06-30,87,8.0,ReflectionsInteractive,"Driving,Mission-based",1 Player,22,132
378,Mario Golf,Nintendo64,1999-06-30,91,8.0,CamelotSoftwarePlanning,"Sports,Traditional,Golf,Arcade",1-4 ,14,38
7819,Hidden & Dangerous,PC,1999-07-29,74,7.8,IllusionSoftworks,"Action,Shooter,General,Shooter,First-Person,Tactical,Historic",No info,13,32
1835,NFL Blitz 2000,Nintendo64,1999-07-31,85,8.5,Midway,"Sports,Traditional,Football,Arcade",1-4 ,14,17
210,System Shock 2,PC,1999-08-11,92,9.1,"LookingGlassStudios,IrrationalGames","Action Adventure,Sci-Fi,Sci-Fi,Survival",1 Player,20,638
356,Legacy of Kain: Soul Reaver,PlayStation,1999-08-16,91,8.9,CrystalDynamics,"Action Adventure,Horror",1 Player,17,205
3162,Suikoden II,PlayStation,1999-08-31,82,9.2,Konami,"Role-Playing,Console-style RPG",1 Player,8,269
229,Tony Hawk's Pro Skater,PlayStation,1999-08-31,92,8.8,NeversoftEntertainment,"Sports,Alternative,Skateboarding",1-2 ,18,110
143,Homeworld,PC,1999-08-31,93,8.8,Relic,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",1-8 ,20,383
545,Wipeout 3,PlayStation,1999-08-31,89,8.8,Psygnosis,"Driving,Racing,Futuristic",1-2 ,14,32
520,Final Fantasy VIII,PlayStation,1999-09-07,90,8.7,SquareSoft,"Role-Playing,Console-style RPG",1 Player,24,1055
3,SoulCalibur,Dreamcast,1999-09-08,98,8.5,Namco,"Action,Fighting,3D",1-2 ,24,324
17428,Jeremy McGrath Supercross 2000,Dreamcast,1999-09-29,43,8.0,Acclaim,"Driving,Racing,Motorcycle,Motocross",No info,14,4
734,Crash Team Racing,PlayStation,1999-09-30,88,9.0,NaughtyDog,"Driving,Racing,Kart",1-4 ,20,471
3839,Jet Force Gemini,Nintendo64,1999-09-30,80,8.8,RareLtd.,"Action,Shooter,Third-Person,Sci-Fi",1-4 ,14,84
3983,Final Fantasy Anthology,PlayStation,1999-09-30,80,8.7,SquareSoft,"Role-Playing,Console-style RPG",1-2 ,14,45
3592,Flanker 2.0,PC,1999-09-30,81,0.0,FlyingLegends,"Simulation,Flight,Modern Jet,Modern Jet,Combat",1-16 ,10,0
685,Grandia,PlayStation,1999-09-30,89,7.6,GameArts,"Role-Playing,Console-style RPG",1 Player,14,133
232,Age of Empires II: The Age of Kings,PC,1999-09-30,92,9.1,EnsembleStudios,"Strategy,Real-Time,Historic,Historic,Command",Up to 8 ,21,1165
290,FreeSpace 2,PC,1999-09-30,91,8.7,VolitionInc.,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat",1-8 ,16,152
3838,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",PC,1999-10-05,80,8.3,SierraEntertainment,"Adventure,General,Point-and-Click",No Online Multiplayer,19,55
10482,Grand Theft Auto 2,PlayStation,1999-10-25,70,7.9,DMADesign,"Action Adventure,Modern",1 Player,15,110
389,Rayman 2: The Great Escape,Nintendo64,1999-10-31,90,8.8,UbisoftMontpellier,"Action,Platformer,3D",1 Player,12,94
3388,Asheron's Call,PC,1999-10-31,81,8.5,TurbineInc.,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy",Massively Multiplayer,15,24
250,Medal of Honor,PlayStation,1999-10-31,92,8.8,DreamworksInteractive,"Action,Shooter,First-Person,Historic",1-2 ,17,156
441,Donkey Kong 64,Nintendo64,1999-10-31,90,8.6,RareLtd.,"Action,Platformer,3D",1-4 ,14,260
9087,Septerra Core: Legacy of the Creator,PC,1999-10-31,72,7.7,ValkyrieStudios,"Role-Playing,General,General",No Online Multiplayer,19,73
587,Resident Evil 2,Nintendo64,1999-10-31,89,8.8,AngelStudios,"Action Adventure,Horror",1 Player,12,103
236,Unreal Tournament (1999),PC,1999-11-30,92,9.0,EpicGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1-32 ,21,601
5061,Harvest Moon 64,Nintendo64,1999-11-30,78,8.8,VictorInteractiveSoftware,"Strategy,Breeding/Constructing",1 Player,7,73
7374,Toy Story 2: Buzz Lightyear to the Rescue!,PlayStation,1999-11-30,75,8.0,Traveller'sTales,"Action,General",1 Player,11,68
114,Gran Turismo 2,PlayStation,1999-11-30,93,9.0,PolyphonyDigital,"Driving,Racing,GT / Street",1-2 ,23,246
348,Planescape: Torment,PC,1999-12-14,91,9.2,BlackIsleStudios,"Role-Playing,General,PC-style RPG,Western-Style",No Online Multiplayer,22,1049
14482,Zombie Revenge,Dreamcast,1999-12-31,60,8.0,Sega,"Action,Beat-'Em-Up",1-2 ,22,6
10841,Silhouette Mirage,PlayStation,1999-12-31,69,6.8,Treasure,"Action,General",1 Player,8,6
7431,Airfix Dogfighter,PC,2000-01-14,75,7.7,ParadoxInteractive,"Simulation,Flight,Modern Jet,Modern Jet,Combat",1-8 ,7,39
11796,X: Beyond the Frontier,PC,2000-01-26,67,7.4,Egosoft,"Simulation,Sci-Fi,Space,Small Spaceship,Combat",1 Player,17,27
9769,Crime Cities,PC,2000-01-31,71,8.0,Techland,"Driving,Racing,Mission-based,Arcade,Mission-based,Automobile",No info,7,6
197,The Sims,PC,2000-02-04,92,7.9,Maxis,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life",,38,665
2738,Ridge Racer 64,Nintendo64,2000-02-14,82,8.3,Nintendo,"Driving,Racing,Arcade",1-4 ,12,21
16695,Army Men: World War,PlayStation,2000-02-29,50,6.8,3DO,"Action,General",1-2 ,8,11
5292,Need for Speed: Porsche Unleashed,PlayStation,2000-02-29,78,8.3,EdenStudios,"Driving,Racing,Arcade",1-2 ,13,41
12768,Q-Ball: Billiards Master,PlayStation2,2000-02-29,65,0.0,Ornith,"Miscellaneous,Parlor,Billiards",1-2 ,9,0
994,Thief II: The Metal Age,PC,2000-03-23,87,8.9,LookingGlassStudios,"Action Adventure,Fantasy,General,Fantasy",,18,258
1373,EverQuest: The Ruins of Kunark,PC,2000-03-24,86,8.5,SonyOnlineEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy",,11,31
1471,Allegiance,PC,2000-03-31,86,7.3,MicrosoftGameStudios,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat",No info,17,16
5403,StarLancer,PC,2000-03-31,78,7.6,DigitalAnvil,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat",1-8 ,18,23
717,Excitebike 64,Nintendo64,2000-04-30,88,8.1,LeftFieldProductions,"Driving,Racing,Motorcycle,Motocross",No info,24,29
13568,Traitor's Gate,PC,2000-04-30,63,6.8,DaydreamSoftware,"Adventure,General,General",No info,12,20
207,Vagrant Story,PlayStation,2000-05-15,92,9.1,SquareSoft,"Role-Playing,Action RPG",1 Player,19,206
6070,SimCity 3000 Unlimited,PC,2000-05-16,77,8.5,Maxis,"Strategy,City Building,Management,Modern,Modern,Government",1 Player,9,66
14,Perfect Dark,Nintendo64,2000-05-22,97,8.9,RareLtd.,"Action,Shooter,First-Person,Sci-Fi",No info,30,420
2278,MDK2,PC,2000-05-31,83,7.8,BioWare,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,23,87
4595,Bust-A-Move 4,Dreamcast,2000-05-31,79,8.6,TaitoCorporation,"Miscellaneous,Puzzle,Matching",1-2 ,14,5
1218,Ground Control,PC,2000-05-31,86,7.6,MassiveEntertainment,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",1-8 ,26,44
8044,Vampire: The Masquerade - Redemption,PC,2000-06-07,74,8.2,Nihilistic,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",No Online Multiplayer,22,137
220,Virtua Tennis,Dreamcast,2000-06-08,92,7.3,Hitmaker,"Sports,Traditional,Tennis",No info,23,8
7622,The Legend of Dragoon,PlayStation,2000-06-11,74,9.0,SCEI,"Role-Playing,Console-style RPG",1 Player,12,330
5402,Earth 2150,PC,2000-06-12,78,7.8,TopWareInteractive,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",,22,48
1947,Shogun: Total War,PC,2000-06-13,84,8.6,CreativeAssembly,"Strategy,Turn-Based,Real-Time,Historic,Historic,General,Historic",1-8 ,24,108
3982,Starcraft 64,Nintendo64,2000-06-13,80,8.2,MassMedia,"Strategy,Real-Time,Sci-Fi",No info,17,48
17117,BeachHead 2000,PC,2000-06-14,46,6.6,DigitalFusionInc.,"Action,Shooter,General,Shooter,First-Person,Rail,Arcade",No Online Multiplayer,14,34
11856,Dracula: The Resurrection,PC,2000-06-14,67,6.5,Canal+Multimedia,"Adventure,First-Person,Point-and-Click,Modern,Fantasy,Modern",No Online Multiplayer,13,22
649,Descent 3,PC,2000-06-14,89,7.7,OutrageGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1-16 ,14,47
15152,PGA European Tour,Nintendo64,2000-06-15,58,8.0,Infogrames,"Sports,Traditional,Golf,Sim",No info,12,4
1870,Street Fighter III: Double Impact,Dreamcast,2000-06-19,84,8.5,Capcom,"Action,Fighting,2D",1-2 ,19,22
7758,Star Trek: Klingon Academy,PC,2000-06-21,74,7.2,14DegreesEast,"Simulation,Sci-Fi,Space,Large Spaceship,Large Spaceship,Civilian",1-6 ,14,14
6868,BreakNeck (2000),PC,2000-06-21,76,6.7,Synetic,"Driving,Racing,Arcade,Arcade,Automobile",1-8 ,16,6
440,Deus Ex,PC,2000-06-23,90,9.2,IonStorm,"Action Adventure,Sci-Fi,Sci-Fi,General",Online Multiplayer,28,1350
5891,Kirby 64: The Crystal Shards,Nintendo64,2000-06-26,77,8.3,HALLabs,"Action,Platformer,3D",1-4 ,22,107
6546,Star Trek: Invasion,PlayStation,2000-06-29,76,7.6,Warthog,"Simulation,Sci-Fi,Small Spaceship",1-2 ,12,7
1045,Icewind Dale,PC,2000-06-29,87,8.3,BlackIsleStudios,"Role-Playing,PC-style RPG,General,PC-style RPG,Western-Style",No info,29,249
401,Marvel vs. Capcom 2,Dreamcast,2000-06-29,90,8.8,Capcom,"Action,Fighting,2D",No info,22,87
915,Diablo II,PC,2000-06-29,88,8.8,BlizzardNorth,"Role-Playing,Action RPG,Action RPG",Up to 8 ,34,1424
3643,Railroad Tycoon II: Gold Edition,Dreamcast,2000-06-30,81,8.1,TremorEntertainment,"Strategy,Tycoon",No info,11,13
17883,Mortal Kombat: Special Forces,PlayStation,2000-06-30,28,3.0,Midway,"Action,Beat-'Em-Up",1 Player,7,34
6190,Dark Reign 2,PC,2000-06-30,77,7.1,PandemicStudios,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General",1-8 ,26,16
15499,Toy Story 2: Buzz Lightyear to the Rescue!,Dreamcast,2000-06-30,57,7.4,Traveller'sTales,"Action,General",No info,16,12
17499,Rally Challenge 2000,Nintendo64,2000-06-30,41,6.0,Europress,"Driving,Racing,Rally / Offroad",1-4 ,9,5
10420,Soulbringer,PC,2000-06-30,70,7.8,Infogrames,"Role-Playing,General,General,Action RPG",,19,30
9406,F1 World Grand Prix,PC,2000-07-01,71,6.9,VideoSystem,"Driving,Racing,Simulation,Formula One,Formula One,Automobile",1-12 ,10,11
1249,Test Drive V-Rally,Dreamcast,2000-07-02,86,8.8,EdenStudios,"Driving,Racing,Rally / Offroad",No info,12,11
9305,Hidden & Dangerous,Dreamcast,2000-07-09,72,8.2,IllusionSoftworks,"Action,General",No info,14,5
3048,Warlords Battlecry,PC,2000-07-09,82,7.6,StrategicStudiesGroup,"Strategy,General,General",1-6 ,19,22
7430,X-Men: Mutant Academy,PlayStation,2000-07-11,75,7.6,ParadoxDevelopment,"Action,Fighting,3D",1-2 ,18,22
4037,Fur Fighters,Dreamcast,2000-07-11,80,8.8,BizarreCreations,"Action,Shooter,Third-Person,Fantasy",No info,17,15
6228,Cleopatra: Queen of the Nile,PC,2000-07-11,77,7.4,BreakAwayGames,"Strategy,City Building,Management,Historic,Government",1 Player,13,16
16565,Action Bass,PlayStation,2000-07-14,51,0.0,Vingt-et-unSystems,"Sports,Nature,Fishing",1 Player,8,0
13609,Star Trek ConQuest Online,PC,2000-07-14,63,0.0,GeneticAnomalies,"Strategy,General,General",1-2 ,10,0
5751,Army Men: Air Combat,Nintendo64,2000-07-14,77,7.4,3DO,"Action,General",No info,10,5
17408,Jeremy McGrath Supercross 2000,PlayStation,2000-07-14,43,0.0,Acclaim,"Driving,Racing,Motorcycle,Motocross",No info,11,0
16082,Fighter Destiny 2,Nintendo64,2000-07-14,54,6.5,Opus,"Action,Fighting,3D",No info,13,11
16981,World Series Baseball 2K1,Dreamcast,2000-07-17,48,7.2,WowEntertainment,"Sports,Traditional,Baseball,Sim",No info,21,5
